ug.test,%+,MFI+,MFI-,rSD-,SI,SI-iso,S:N,Row,pop,spec,Filename,Well.ID,Plate.ID,Prep.Date,Stain.Date,Experiment.Type,Plate.Row,Plate.Column,Stability.Time.point,Gating.Control,Target.Species,Specificity..CD.,Specificity..non.CD.,Isotype.Host.Species,Host.Species,Isotype..Heavy.Chain.,Isotype..Light.Chain.,Clone,Fluorochrome,Parameter,Batch.Number,ug.test,units,Sample.Type,Sample.Species,Sample.Strain,Donor.ID,spec1_name,Positive...Negative_1,spec2_name,Positive...Negative_2,spec3_name,Positive...Negative_3,gating_method,gating_argument,Optimal.with.units,BV421.Stain.Index,Doublet.discrimination,Viability.Fluorochrome,Viability.Parameter,Costain.Fluorochrome,Costain.Parameter,CS.T.Beads.Lot..,Notes,Cytometer
250,0,NA,8075,9260,NA,NA,NA,C,Mono,90-100,Specimen_001_C5_C05_030.fcs,C5,FY21w5p8,3/18/2021,3/19/2021,S,C,5,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,250,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
500,0,NA,4382,8286,NA,NA,NA,C,Mono,90-100,Specimen_001_C6_C06_031.fcs,C6,FY21w5p8,3/18/2021,3/19/2021,S,C,6,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,500,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
1000,0,NA,8123,8898,NA,NA,NA,C,Mono,90-100,Specimen_001_C7_C07_032.fcs,C7,FY21w5p8,3/18/2021,3/19/2021,S,C,7,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,1000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
2000,0,NA,1142,6025,NA,NA,NA,C,Mono,90-100,Specimen_001_C8_C08_033.fcs,C8,FY21w5p8,3/18/2021,3/19/2021,S,C,8,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,2000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
30,0.052,62977,3261,2518,NA,NA,NA,A,Gran,80-100,Specimen_001_C2_C02_027.fcs,A2,FY21w5p8,3/18/2021,3/19/2021,S,C,2,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,30,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
60,0.021,48752,2634,2141,NA,NA,NA,A,Gran,80-100,Specimen_001_C3_C03_028.fcs,A3,FY21w5p8,3/18/2021,3/19/2021,S,C,3,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,60,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
125,0.09,38354,3100,2165,NA,NA,NA,A,Gran,80-100,Specimen_001_C4_C04_029.fcs,A4,FY21w5p8,3/18/2021,3/19/2021,S,C,4,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,125,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
250,0.16,54671,3431,2145,NA,NA,NA,A,Gran,80-100,Specimen_001_C5_C05_030.fcs,A5,FY21w5p8,3/18/2021,3/19/2021,S,C,5,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,250,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
500,0.12,30070,2801,1884,NA,NA,NA,A,Gran,80-100,Specimen_001_C6_C06_031.fcs,A6,FY21w5p8,3/18/2021,3/19/2021,S,C,6,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,500,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
1000,0.18,55794,3492,2173,NA,NA,NA,A,Gran,80-100,Specimen_001_C7_C07_032.fcs,A7,FY21w5p8,3/18/2021,3/19/2021,S,C,7,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,1000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
2000,0.2,42365,3190,2035,NA,NA,NA,A,Gran,80-100,Specimen_001_C8_C08_033.fcs,A8,FY21w5p8,3/18/2021,3/19/2021,S,C,8,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,2000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
30,0.011,46619,3223,2501,8.7,8.7,14,C,Gran,80-100,Specimen_001_C2_C02_027.fcs,C2,FY21w5p8,3/18/2021,3/19/2021,S,C,2,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,30,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
60,0.031,77532,2617,2015,19,19,30,C,Gran,80-100,Specimen_001_C3_C03_028.fcs,C3,FY21w5p8,3/18/2021,3/19/2021,S,C,3,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,60,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
125,0.067,44473,2955,2016,10,10,15,C,Gran,80-100,Specimen_001_C4_C04_029.fcs,C4,FY21w5p8,3/18/2021,3/19/2021,S,C,4,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,125,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
250,0.079,33816,3408,2049,7.4,7.4,9.9,C,Gran,80-100,Specimen_001_C5_C05_030.fcs,C5,FY21w5p8,3/18/2021,3/19/2021,S,C,5,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,250,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
500,0.094,26516,2811,1845,6.4,6.4,9.4,C,Gran,80-100,Specimen_001_C6_C06_031.fcs,C6,FY21w5p8,3/18/2021,3/19/2021,S,C,6,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,500,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
1000,0.061,35328,3402,2094,7.6,7.6,10,C,Gran,80-100,Specimen_001_C7_C07_032.fcs,C7,FY21w5p8,3/18/2021,3/19/2021,S,C,7,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,1000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
2000,0.062,40655,3099,1952,9.6,9.6,13,C,Gran,80-100,Specimen_001_C8_C08_033.fcs,C8,FY21w5p8,3/18/2021,3/19/2021,S,C,8,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,2000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
30,3.3,6123,46,137,NA,NA,NA,A,Lymph,Jul-40,Specimen_001_D2_D02_039.fcs,A2,FY21w5p8,3/18/2021,3/19/2021,S,D,2,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,30,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
60,3.4,7758,51,159,NA,NA,NA,A,Lymph,Jul-40,Specimen_001_D3_D03_040.fcs,A3,FY21w5p8,3/18/2021,3/19/2021,S,D,3,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,60,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
125,3.2,11142,68,215,NA,NA,NA,A,Lymph,Jul-40,Specimen_001_D4_D04_041.fcs,A4,FY21w5p8,3/18/2021,3/19/2021,S,D,4,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,125,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
250,3,11868,71,257,NA,NA,NA,A,Lymph,Jul-40,Specimen_001_D5_D05_042.fcs,A5,FY21w5p8,3/18/2021,3/19/2021,S,D,5,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,250,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
500,2.6,13596,77,318,NA,NA,NA,A,Lymph,Jul-40,Specimen_001_D6_D06_043.fcs,A6,FY21w5p8,3/18/2021,3/19/2021,S,D,6,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,500,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
1000,2.6,13962,77,373,NA,NA,NA,A,Lymph,Jul-40,Specimen_001_D7_D07_044.fcs,A7,FY21w5p8,3/18/2021,3/19/2021,S,D,7,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,1000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
2000,1.7,17227,88,571,NA,NA,NA,A,Lymph,Jul-40,Specimen_001_D8_D08_045.fcs,A8,FY21w5p8,3/18/2021,3/19/2021,S,D,8,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,2000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
30,3.9,5478,46,133,20,20,118,D,Lymph,Jul-40,Specimen_001_D2_D02_039.fcs,D2,FY21w5p8,3/18/2021,3/19/2021,S,D,2,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,30,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
60,3.5,7999,52,160,25,25,155,D,Lymph,Jul-40,Specimen_001_D3_D03_040.fcs,D3,FY21w5p8,3/18/2021,3/19/2021,S,D,3,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,60,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
125,3.2,12306,64,224,27,27,193,D,Lymph,Jul-40,Specimen_001_D4_D04_041.fcs,D4,FY21w5p8,3/18/2021,3/19/2021,S,D,4,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,125,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
250,3.5,13011,70,264,25,25,187,D,Lymph,Jul-40,Specimen_001_D5_D05_042.fcs,D5,FY21w5p8,3/18/2021,3/19/2021,S,D,5,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,250,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
500,2.3,13423,73,311,21,21,184,D,Lymph,Jul-40,Specimen_001_D6_D06_043.fcs,D6,FY21w5p8,3/18/2021,3/19/2021,S,D,6,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,500,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
1000,2.7,13831,68,375,18,18,204,D,Lymph,Jul-40,Specimen_001_D7_D07_044.fcs,D7,FY21w5p8,3/18/2021,3/19/2021,S,D,7,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,1000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
2000,1.9,17752,88,621,14,14,202,D,Lymph,Jul-40,Specimen_001_D8_D08_045.fcs,D8,FY21w5p8,3/18/2021,3/19/2021,S,D,8,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,2000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
30,0,NA,4181,7218,NA,NA,NA,A,Mono,90-100,Specimen_001_D2_D02_039.fcs,A2,FY21w5p8,3/18/2021,3/19/2021,S,D,2,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,30,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
60,0,NA,5355,7812,NA,NA,NA,A,Mono,90-100,Specimen_001_D3_D03_040.fcs,A3,FY21w5p8,3/18/2021,3/19/2021,S,D,3,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,60,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
125,0,NA,6239,9336,NA,NA,NA,A,Mono,90-100,Specimen_001_D4_D04_041.fcs,A4,FY21w5p8,3/18/2021,3/19/2021,S,D,4,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,125,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
250,0,NA,3890,8108,NA,NA,NA,A,Mono,90-100,Specimen_001_D5_D05_042.fcs,A5,FY21w5p8,3/18/2021,3/19/2021,S,D,5,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,250,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
500,0,NA,5787,9421,NA,NA,NA,A,Mono,90-100,Specimen_001_D6_D06_043.fcs,A6,FY21w5p8,3/18/2021,3/19/2021,S,D,6,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,500,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
1000,0,NA,7091,10450,NA,NA,NA,A,Mono,90-100,Specimen_001_D7_D07_044.fcs,A7,FY21w5p8,3/18/2021,3/19/2021,S,D,7,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,1000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
2000,0,NA,2465,7113,NA,NA,NA,A,Mono,90-100,Specimen_001_D8_D08_045.fcs,A8,FY21w5p8,3/18/2021,3/19/2021,S,D,8,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,2000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
30,0,NA,4531,7382,NA,NA,NA,D,Mono,90-100,Specimen_001_D2_D02_039.fcs,D2,FY21w5p8,3/18/2021,3/19/2021,S,D,2,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,30,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
60,0,NA,4602,7963,NA,NA,NA,D,Mono,90-100,Specimen_001_D3_D03_040.fcs,D3,FY21w5p8,3/18/2021,3/19/2021,S,D,3,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,60,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
125,0,NA,7271,10183,NA,NA,NA,D,Mono,90-100,Specimen_001_D4_D04_041.fcs,D4,FY21w5p8,3/18/2021,3/19/2021,S,D,4,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,125,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
250,0,NA,7846,8741,NA,NA,NA,D,Mono,90-100,Specimen_001_D5_D05_042.fcs,D5,FY21w5p8,3/18/2021,3/19/2021,S,D,5,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,250,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
500,0,NA,5308,8571,NA,NA,NA,D,Mono,90-100,Specimen_001_D6_D06_043.fcs,D6,FY21w5p8,3/18/2021,3/19/2021,S,D,6,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,500,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
1000,0,NA,7967,8581,NA,NA,NA,D,Mono,90-100,Specimen_001_D7_D07_044.fcs,D7,FY21w5p8,3/18/2021,3/19/2021,S,D,7,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,1000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
2000,0,NA,8154,10035,NA,NA,NA,D,Mono,90-100,Specimen_001_D8_D08_045.fcs,D8,FY21w5p8,3/18/2021,3/19/2021,S,D,8,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,2000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
30,0.052,62977,3261,2518,NA,NA,NA,A,Gran,80-100,Specimen_001_D2_D02_039.fcs,A2,FY21w5p8,3/18/2021,3/19/2021,S,D,2,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,30,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
60,0.021,48752,2634,2141,NA,NA,NA,A,Gran,80-100,Specimen_001_D3_D03_040.fcs,A3,FY21w5p8,3/18/2021,3/19/2021,S,D,3,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,60,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
125,0.09,38354,3100,2165,NA,NA,NA,A,Gran,80-100,Specimen_001_D4_D04_041.fcs,A4,FY21w5p8,3/18/2021,3/19/2021,S,D,4,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,125,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
250,0.16,54671,3431,2145,NA,NA,NA,A,Gran,80-100,Specimen_001_D5_D05_042.fcs,A5,FY21w5p8,3/18/2021,3/19/2021,S,D,5,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,250,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
500,0.12,30070,2801,1884,NA,NA,NA,A,Gran,80-100,Specimen_001_D6_D06_043.fcs,A6,FY21w5p8,3/18/2021,3/19/2021,S,D,6,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,500,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
1000,0.18,55794,3492,2173,NA,NA,NA,A,Gran,80-100,Specimen_001_D7_D07_044.fcs,A7,FY21w5p8,3/18/2021,3/19/2021,S,D,7,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,1000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
2000,0.2,42365,3190,2035,NA,NA,NA,A,Gran,80-100,Specimen_001_D8_D08_045.fcs,A8,FY21w5p8,3/18/2021,3/19/2021,S,D,8,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,2000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
30,0.022,53026,3014,2470,10,10,18,D,Gran,80-100,Specimen_001_D2_D02_039.fcs,D2,FY21w5p8,3/18/2021,3/19/2021,S,D,2,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,30,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
60,0.031,51798,2539,2087,12,12,20,D,Gran,80-100,Specimen_001_D3_D03_040.fcs,D3,FY21w5p8,3/18/2021,3/19/2021,S,D,3,1.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,60,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
